longitude,latitude,trackid,cluster
147.224626829409,-43.615567524553605,0,5
147.22462841386002,-43.6155730327798,0,5
147.224625521362,-43.6155727206724,1,5
147.22462434423,-43.61557475636211,1,5
147.22457936486,-43.6156061723317,2,5
147.224580072555,-43.61561066260679,2,5
147.224609327807,-43.6155711166851,3,5
147.224623156446,-43.6155524676631,4,5
147.22460525862,-43.615564907863394,5,5
147.224604487694,-43.6155684183312,5,5
147.22460351873002,-43.6155737253921,6,5
147.224604077671,-43.615579556434405,6,5
147.224557287836,-43.6156002738853,7,5
147.224557320628,-43.6156081220218,7,5
147.224552579868,-43.6155916107271,8,5
147.22455313357798,-43.6155872194767,8,5
147.224568294113,-43.6155796359301,9,5
147.224569542626,-43.615574767065894,9,5
147.224569021941,-43.6155735401675,10,5
147.224568720414,-43.615576206473996,10,5
147.22456436477,-43.61557849350229,11,5
147.224562803616,-43.6155782415168,11,5
147.224590755522,-43.615537612596206,12,5
147.22464227952,-43.615588600121406,13,2
147.224639876979,-43.615592358423,13,2
147.224651589602,-43.6155992062155,14,2
147.224651347736,-43.6156010138038,14,2
147.224670785793,-43.615604118730005,15,2
147.224673907849,-43.6156076873669,15,2
147.22469337919398,-43.6156145000988,16,2
147.224693762087,-43.615610378361204,16,2
147.224694697931,-43.615606516450605,17,2
147.224694813708,-43.615602977757504,17,2
147.22466814407102,-43.6156038693019,18,2
147.224669393072,-43.615608206154,18,2
147.224653002553,-43.615609633149994,19,2
147.224655655947,-43.615603043177,19,2
147.224655528323,-43.6155976359859,20,2
147.224653454822,-43.6156030950496,20,2
147.22464267403,-43.6155982705124,21,2
147.22464241068002,-43.61559268659779,21,2
147.22465341054502,-43.6155905115501,22,2
147.224657126067,-43.615582772509,22,2
147.224636585632,-43.61558052952889,23,2
147.224631013558,-43.6156487302818,24,7
147.224632303093,-43.615653337093896,24,7
147.224614989368,-43.6156636981924,25,7
147.22461523972,-43.615667630573796,25,7
147.224610503611,-43.615640858408796,26,7
147.22460876780198,-43.615638887473004,26,7
147.224611516626,-43.615648444910896,27,7
147.224611364343,-43.6156544696906,27,7
147.224619238482,-43.6156389291256,28,7
147.224621801603,-43.615645378135795,28,7
