Image,X,Y,Z,Score,longitude,latitude,dTime
PR_20100604_070811_149_LC16.tif,-491.202994123347,97.9372369465848,54.8445645743069,0.9410043,147.224514894832,-43.6156183524391,2707.314
PR_20100604_070812_139_LC16.tif,-490.839657391691,98.7247140052386,55.803848161889,0.9664406,147.224519396622,-43.6156112649787,2708.304
PR_20100604_070813_143_LC16.tif,-490.730095859581,99.6204834230846,55.7628721258201,0.9883265,147.224520754701,-43.6156032026638,2709.308
PR_20100604_070824_184_LC16.tif,-487.911904226065,102.340263599222,56.3901932373122,0.9558598,147.224555669375,-43.6155787250897,2720.349
PR_20100604_070825_139_LC16.tif,-487.847100296088,103.119445119771,56.0502170468802,0.96080923,147.224556472879,-43.6155717120963,2721.304
PR_20100604_070843_153_LC16.tif,-481.388106901819,108.752929459638,57.7327796254751,0.9657914,147.224636492922,-43.6155210120312,2739.318
PR_20100604_070910_153_LC16.tif,-473.613879133919,115.644527360602,57.5922934713354,0.9242337,147.224732807236,-43.6154589890754,2766.318
PR_20100604_071659_201_LC16.tif,-482.167796394492,103.585111782067,56.5590219640984,0.9817124,147.224626829409,-43.6155675245536,3235.366
PR_20100604_071700_205_LC16.tif,-482.039851986852,102.973130949399,56.1959981037417,0.84950614,147.22462841386,-43.6155730327798,3236.37
PR_20100604_071706_198_LC16.tif,-480.920460707969,101.243605903808,56.08374721812,0.95419294,147.22464227952,-43.6155886001214,3242.363
PR_20100604_071707_215_LC16.tif,-481.114369175148,100.826026870368,55.965395567021,0.8230844,147.224639876979,-43.615592358423,3243.38
PR_20100604_071709_209_LC16.tif,-480.22869874205,100.313921004228,55.9687552655781,0.8919673,147.224650848354,-43.6155969682116,3245.374
PR_20100604_071710_236_LC16.tif,-480.168845703193,100.065272454288,56.5945264077993,0.8942507,147.224651589602,-43.6155992062155,3246.401
PR_20100604_071711_243_LC16.tif,-480.188355308151,99.8644394279794,56.4921238730491,0.85721076,147.224651347736,-43.6156010138038,3247.408
PR_20100604_071712_250_LC16.tif,-478.619247789814,99.5195796028698,56.7826826796594,0.9386991,147.224670785793,-43.61560411873,3248.415
PR_20100604_071713_197_LC16.tif,-478.367200224563,99.1231051165012,56.7900316793602,0.9043984,147.224673907849,-43.6156076873669,3249.362
PR_20100604_071747_207_LC16.tif,-481.829394136161,94.5627947979457,56.1434090489861,0.98153234,147.224631013558,-43.6156487302818,3283.372
