index,Image,X,Y,Z,Score,longitude,latitude,dTime,outtime
7,PR_20100604_071659_201_LC16.tif,-482.16779639449203,103.58511178206699,56.5590219640984,0.9817123999999999,147.224626829409,-43.615567524553605,3235.366,528.0519999999997
8,PR_20100604_071700_205_LC16.tif,-482.03985198685206,102.97313094939899,56.1959981037417,0.84950614,147.22462841386002,-43.6155730327798,3236.37,529.0559999999996
9,PR_20100604_071706_198_LC16.tif,-480.92046070796897,101.243605903808,56.083747218119996,0.95419294,147.22464227952,-43.615588600121406,3242.363,535.0489999999995
10,PR_20100604_071707_215_LC16.tif,-481.114369175148,100.826026870368,55.965395567021,0.8230844,147.224639876979,-43.615592358423,3243.38,536.0659999999998
11,PR_20100604_071709_209_LC16.tif,-480.22869874205,100.313921004228,55.968755265578096,0.8919673,147.224650848354,-43.615596968211605,3245.3740000000003,538.06
12,PR_20100604_071710_236_LC16.tif,-480.16884570319297,100.065272454288,56.5945264077993,0.8942507,147.224651589602,-43.6155992062155,3246.401,539.0869999999995
13,PR_20100604_071711_243_LC16.tif,-480.188355308151,99.8644394279794,56.492123873049096,0.85721076,147.224651347736,-43.6156010138038,3247.408,540.0939999999996
14,PR_20100604_071712_250_LC16.tif,-478.619247789814,99.5195796028698,56.782682679659395,0.9386991,147.224670785793,-43.615604118730005,3248.415,541.1009999999997
15,PR_20100604_071713_197_LC16.tif,-478.36720022456296,99.1231051165012,56.7900316793602,0.9043984,147.224673907849,-43.6156076873669,3249.362,542.0479999999998
16,PR_20100604_071747_207_LC16.tif,-481.82939413616094,94.56279479794571,56.1434090489861,0.98153234,147.224631013558,-43.6156487302818,3283.3720000000003,576.058
17,PR_20100604_071748_211_LC16.tif,-481.72526330275,94.0509636192993,56.4804058882131,0.9768638000000001,147.224632303093,-43.615653337093896,3284.3759999999997,577.0619999999994
18,PR_20100604_071750_242_LC16.tif,-483.168229102906,93.4251748310115,56.6631845835325,0.9764695999999999,147.224614426821,-43.61565896858129,3286.407,579.0929999999998
19,PR_20100604_071751_221_LC16.tif,-483.122781232804,92.899695892905,56.5478222862032,0.9760976999999998,147.224614989368,-43.6156636981924,3287.386,580.0719999999997
20,PR_20100604_071752_254_LC16.tif,-483.102540840002,92.4627911375132,56.646467195295706,0.98969483,147.22461523972,-43.615667630573796,3288.4190000000003,581.105
21,PR_20100604_071756_228_LC16.tif,-485.387728504869,91.21163831170608,56.6001935979615,0.9707555,147.224586929286,-43.6156788901093,3292.393,585.0789999999997
22,PR_20100604_071757_236_LC16.tif,-485.478046221232,90.93519291592659,56.4624538440504,0.9765203000000001,147.224585810166,-43.6156813782016,3293.401,586.0869999999995
23,PR_20100604_071758_218_LC16.tif,-485.655158030395,90.5582135466651,56.5099431602969,0.98965925,147.22458361573499,-43.615684771095,3294.383,587.0689999999995
24,PR_20100604_071759_249_LC16.tif,-485.944220965112,90.2702883807407,56.318925081931106,0.9282465,147.224580034512,-43.6156873623816,3295.414,588.0999999999999
25,PR_20100604_071825_213_LC16.tif,-486.844611212917,94.6135625578368,56.3134419633493,0.86844987,147.22456888422101,-43.615648270085,3321.3779999999997,614.0639999999994
26,PR_20100604_071826_209_LC16.tif,-486.800642262747,94.86131878188792,56.3545640630388,0.97877353,147.224569429139,-43.6156460401798,3322.3740000000003,615.06
27,PR_20100604_071827_212_LC16.tif,-486.707847743775,95.0239351227795,56.2567397770361,0.973319,147.22457057884,-43.6156445766095,3323.377,616.0629999999996
28,PR_20100604_071827_212_LC16.tif,-486.618787484515,93.9511219151025,56.2342163842849,0.9665853999999999,147.22457168116898,-43.6156542325401,3323.377,616.0629999999996
29,PR_20100604_071828_216_LC16.tif,-486.565552756202,94.12586391027409,56.338343582540595,0.96820307,147.224572340807,-43.6156526598068,3324.381,617.0669999999996
30,PR_20100604_071829_219_LC16.tif,-486.396205155299,94.36626460446242,56.4135344542361,0.8943061999999999,147.224574438931,-43.61565049618711,3325.384,618.0699999999997
31,PR_20100604_071833_206_LC16.tif,-483.485064081941,95.4372780226815,56.43589845419021,0.9831949000000001,147.224610503611,-43.615640858408796,3329.3709999999996,622.0569999999993
32,PR_20100604_071834_221_LC16.tif,-483.62519816454005,95.65624822889731,56.2130709623057,0.9655623,147.22460876780198,-43.615638887473004,3330.386,623.0719999999997
33,PR_20100604_071852_219_LC16.tif,-476.79537657969803,98.3662902663645,57.397445573849105,0.8228711,147.22469337919398,-43.6156145000988,3348.384,641.0699999999997
34,PR_20100604_071853_223_LC16.tif,-476.764501191576,98.8242370551031,57.2794119194301,0.9673873,147.224693762087,-43.615610378361204,3349.388,642.0739999999996
35,PR_20100604_071854_226_LC16.tif,-476.688988318388,99.253318993179,57.10209992449371,0.9472427999999999,147.224694697931,-43.615606516450605,3350.3909999999996,643.0769999999993
36,PR_20100604_071855_256_LC16.tif,-476.67967051247706,99.64648523629391,57.1257472587452,0.92208517,147.224694813708,-43.615602977757504,3351.421,644.1069999999995
37,PR_20100604_072013_232_LC16.tif,-478.83249533540993,99.5472770158338,56.5849954101248,0.9770901,147.22466814407102,-43.6156038693019,3429.397,722.0829999999996
38,PR_20100604_072014_236_LC16.tif,-478.731638821611,99.0654393953633,56.2553200870296,0.9598120000000001,147.224669393072,-43.615608206154,3430.401,723.0869999999995
39,PR_20100604_072028_231_LC16.tif,-483.393352635152,95.1088011761665,56.43150936952661,0.98159444,147.224611639455,-43.6156438149294,3444.3959999999997,737.0819999999994
40,PR_20100604_072028_231_LC16.tif,-482.992530303022,96.279313344595,56.5065277259297,0.8857658000000002,147.22461660595602,-43.615633279975796,3444.3959999999997,737.0819999999994
41,PR_20100604_072029_255_LC16.tif,-483.403230553911,94.5943875676598,56.3620176325272,0.98276937,147.224611516626,-43.615648444910896,3445.42,738.1059999999998
42,PR_20100604_072029_255_LC16.tif,-482.779981883605,95.6516813317649,56.61220204621821,0.9710687,147.224619238482,-43.6156389291256,3445.42,738.1059999999998
43,PR_20100604_072030_238_LC16.tif,-483.415474936273,93.92500510346011,56.687958588666,0.99245983,147.224611364343,-43.6156544696906,3446.403,739.0889999999995
44,PR_20100604_072030_238_LC16.tif,-482.573029665252,94.93518063127041,56.5922051058745,0.8890875,147.224621801603,-43.615645378135795,3446.403,739.0889999999995
45,PR_20100604_072048_246_LC16.tif,-487.570493682332,90.35030297168221,56.109238977094,0.9599907,147.22455988802201,-43.6156866411463,3464.4109999999996,757.0969999999993
46,PR_20100604_072105_225_LC16.tif,-486.0554092272,90.32060619988621,56.533025777637995,0.97709113,147.224578657137,-43.615686909422706,3481.39,774.0759999999996
47,PR_20100604_072106_228_LC16.tif,-486.167687521762,90.7358409041963,56.4746045204835,0.982402,147.224577266586,-43.6156831720228,3482.393,775.0789999999997
