,time,individual,x,y,camera_x,camera_y
0,11,1.0,3.701637500670629,0.3825567457487253,3.2999999999999994,0.0
1,12,1.0,3.6002090225952434,0.32782864197542494,3.599999999999999,0.0
2,13,1.0,3.652598444592588,0.23674727861504402,3.899999999999999,0.0
3,14,1.0,3.7064513211466177,0.2330595601899352,4.199999999999999,0.0
4,24,2.0,3.168524115647922,0.3316914379930195,3.5999999999999996,0.6
5,25,2.0,3.1689224593282823,0.11451296088331883,3.3,0.6
6,26,2.0,3.203036372846378,0.18181502698568078,3.0,0.6
7,43,0.0,1.3460566940031526,1.3803890491967747,0.9000000000000004,1.2
8,44,0.0,1.2571743910220259,1.5063325592279082,1.2000000000000004,1.2
9,45,0.0,1.176146807769676,1.5127165744394833,1.5000000000000004,1.2
10,46,0.0,1.3219500876074177,1.5104686264046023,1.8000000000000005,1.2
11,55,5.0,4.828912479554186,1.5573554809836294,4.499999999999999,1.2
12,56,5.0,4.686207725304153,1.5832412908518212,4.799999999999999,1.2
13,58,5.0,4.838817787765355,1.6950362209774574,5.099999999999999,1.5
14,59,5.0,4.962202812840028,1.5575230147172796,5.099999999999999,1.8
15,60,5.0,5.147788531124727,1.5868034157911783,4.799999999999999,1.8
16,70,0.0,1.4870932241968866,1.5922059327663158,1.8000000000000005,1.8
17,71,0.0,1.555709545575198,1.533944385357032,1.5000000000000004,1.8
18,72,0.0,1.6216610696806735,1.5788137855565465,1.2000000000000004,1.8
19,78,7.0,-0.6165737733344696,2.5697618507674282,-0.29999999999999966,2.1
20,79,7.0,-0.6720455848270745,2.551138116961582,-0.29999999999999966,2.4
21,92,9.0,4.086377334528144,2.7794198423674534,3.5999999999999996,2.4
22,93,9.0,4.0166365391046535,2.821190234812489,3.8999999999999995,2.4
23,94,9.0,4.127380801823286,2.817873404912866,4.199999999999999,2.4
24,95,9.0,4.1202607937122995,2.84142226349247,4.499999999999999,2.4
25,104,3.0,3.1083221784018633,3.217632219472586,3.5999999999999996,2.9999999999999996
26,105,3.0,3.190022708649918,3.137363231103356,3.3,2.9999999999999996
27,106,3.0,3.1281060864687045,3.15356956198803,3.0,2.9999999999999996
28,116,7.0,-0.4733319962943053,2.7498051905738987,3.3306690738754696e-16,2.9999999999999996
29,117,7.0,-0.4438053030001561,2.831602664691898,-0.29999999999999966,2.9999999999999996
30,124,4.0,1.5605692723441635,3.8054282264354864,1.2000000000000004,3.599999999999999
31,125,4.0,1.5144200553749743,3.9869209170061057,1.5000000000000004,3.599999999999999
32,126,4.0,1.4566089545129015,3.8660574236904734,1.8000000000000005,3.599999999999999
33,128,3.0,2.595689314193154,3.7141668381956885,2.4000000000000004,3.599999999999999
34,129,3.0,2.5054778473382666,3.744616904977589,2.7,3.599999999999999
35,130,3.0,2.5820553812801563,3.6581899219209024,3.0,3.599999999999999
36,148,3.0,1.9448592021691467,3.7412622746119553,2.4000000000000004,4.199999999999999
37,149,3.0,2.1096817402219656,3.847761755785861,2.1000000000000005,4.199999999999999
38,150,3.0,2.0293186726343855,4.0019258086508716,1.8000000000000005,4.199999999999999
39,151,6.0,1.1978313144849357,4.2771204100005304,1.5000000000000004,4.199999999999999
40,152,6.0,1.2389014372398321,4.169055167276372,1.2000000000000004,4.199999999999999
41,163,6.0,1.2903870659974455,4.546056253507479,0.9000000000000004,4.799999999999999
42,164,6.0,1.3037877122441042,4.4895418825519275,1.2000000000000004,4.799999999999999
43,165,6.0,1.3520457291171286,4.418812182454743,1.5000000000000004,4.799999999999999
44,166,6.0,1.328923737798144,4.400252956000313,1.8000000000000005,4.799999999999999
45,167,3.0,2.4621027401706623,4.869904396227779,2.1000000000000005,4.799999999999999
46,168,3.0,2.3293457461146687,4.8629169171274595,2.4000000000000004,4.799999999999999
47,169,3.0,2.2016792760962898,4.831620364754459,2.7,4.799999999999999
